description,unspsc_code
Requisition for Red Washington apples 1kg,50192101
"Procurement request: Interior wall paint white, 2 pcs",31211504
Order of Matte white emulsion 5L,31211504
"Procurement request: Red Washington apples 1kg, 50 pcs",50192101
Purchased: Matte white emulsion 5L - 1 units,31211504
Order of Construction steel rods,30102307
"Procurement request: 100m copper wire roll, 5 pcs",26121505
Line item: Electric cable insulated,26121505
Requisition for Flexible wire 1.5mm,26121505
Interior wall paint white for site delivery,31211504
Order of Wireless internet router,43222609
Requisition for Dual-band WiFi 6 router,43222609
12-pack eggs for site delivery,50131705
"Procurement request: Pro business laptop, 1 pcs",43211503
Requisition for Cavendish bananas 1kg,50192102
Heavy concrete board for site delivery,30111504
"Invoice: House wiring cable, qty 5",26121505
"Procurement request: Yellow bananas, 25 pcs",50192102
"Procurement request: Long grain white rice, 2 pcs",50201700
Office network router for site delivery,43222609
Line item: Loose apples (kg),50192101
Purchased: Steamed white rice - 12 units,50201700
Purchased: Precast concrete slab - 1 units,30111504
Supply of Precast concrete slab,30111504
Line item: Long grain white rice,50201700
"Procurement request: Fresh gala apples, 10 pcs",50192101
"Invoice: Laptop with 16GB RAM, qty 10",43211503
Purchased: Matte white emulsion 5L - 25 units,31211504
"Procurement request: Heavy concrete board, 2 pcs",30111504
Order of Workstation laptop,43211503
Order of Rice 5kg bag,50201700
Purchased: Broadband router - 2 units,43222609
Purchased: 100m copper wire roll - 50 units,26121505
Requisition for Wall coating matte white,31211504
Shipment: 25 x Wireless internet router,43222609
Shipment: 1 x Red Washington apples 1kg,50192101
"Invoice: Matte white emulsion 5L, qty 2",31211504
"Invoice: Steel rebars 10mm, qty 12",30102307
Purchased: Electric cable insulated - 12 units,26121505
Shipment: 5 x Organic bananas,50192102
Purchased: Construction steel rods - 10 units,30102307
Purchased: Mild steel bars - 5 units,30102307
Shipment: 25 x Pro business laptop,43211503
Shipment: 1 x 5 litre matte paint,31211504
Requisition for Office network router,43222609
Requisition for Fresh white eggs,50131705
"Invoice: Heavy concrete board, qty 50",30111504
Requisition for Dozen large eggs,50131705
Line item: Banana bunch large,50192102
"Invoice: Mild steel bars, qty 5",30102307
Supply of White jasmine rice,50201700
Acquired 12 units of Office laptop 512GB SSD,43211503
"Procurement request: Dozen large eggs, 2 pcs",50131705
"Invoice: 12-pack eggs, qty 2",50131705
Acquired 25 units of Red Washington apples 1kg,50192101
Requisition for Office network router,43222609
Requisition for Rice 5kg bag,50201700
Pro business laptop for site delivery,43211503
Requisition for Red Washington apples 1kg,50192101
Requisition for Construction steel rods,30102307
Shipment: 25 x Gigabit router,43222609
Requisition for Dual-band WiFi 6 router,43222609
Shipment: 1 x Interior wall paint white,31211504
"Invoice: Dual-band WiFi 6 router, qty 5",43222609
"Invoice: Heavy concrete board, qty 5",30111504
Line item: Wall coating matte white,31211504
Steel rebars 10mm for site delivery,30102307
Requisition for Organic bananas,50192102
Acquired 2 units of Precast concrete slab,30111504
Requisition for Long grain white rice,50201700
Acquired 25 units of Pro business laptop,43211503
Supply of Steamed white rice,50201700
Basmati rice 2kg for site delivery,50201700
"Invoice: Concrete wall unit, qty 5",30111504
Supply of White latex paint,31211504
Order of Reinforcement bar bundle,30102307
Acquired 10 units of Organic bananas,50192102
"Invoice: Office laptop 512GB SSD, qty 2",43211503
"Invoice: Wireless internet router, qty 2",43222609
Acquired 1 units of 12-pack eggs,50131705
Purchased: Carton of eggs - 2 units,50131705
"Invoice: Matte white emulsion 5L, qty 50",31211504
Requisition for 5 litre matte paint,31211504
"Invoice: Precast concrete slab, qty 1",30111504
"Requisition for 14"" business notebook",43211503
"Procurement request: 14"" business notebook, 1 pcs",43211503
Shipment: 10 x Wall panel concrete 1x2m,30111504
Order of Fresh ripe bananas,50192102
Order of Loose apples (kg),50192101
Order of Wall coating matte white,31211504
Supply of Panel made of concrete,30111504
Line item: Organic hen eggs,50131705
"Procurement request: Broadband router, 5 pcs",43222609
Requisition for 5 litre matte paint,31211504
"Procurement request: Precast concrete slab, 50 pcs",30111504
Order of Dual-band WiFi 6 router,43222609
Order of Long grain white rice,50201700
Supply of Yellow bananas,50192102
Shipment: 12 x 5 litre matte paint,31211504
Requisition for Carton of eggs,50131705
"Procurement request: Matte white emulsion 5L, 1 pcs",31211504
"Procurement request: Dual-band WiFi 6 router, 25 pcs",43222609
Line item: 12-pack eggs,50131705
Steamed white rice for site delivery,50201700
White jasmine rice for site delivery,50201700
Line item: Rice 5kg bag,50201700
Line item: Mild steel bars,30102307
"Invoice: 100m copper wire roll, qty 10",26121505
Acquired 50 units of Banana bunch large,50192102
Shipment: 1 x 12-pack eggs,50131705
Purchased: Carton of eggs - 2 units,50131705
Interior wall paint white for site delivery,31211504
"Invoice: Basmati rice 2kg, qty 5",50201700
Purchased: Rice 5kg bag - 25 units,50201700
Office laptop 512GB SSD for site delivery,43211503
Shipment: 1 x Mild steel bars,30102307
Line item: Wireless internet router,43222609
"Procurement request: Precast concrete slab, 10 pcs",30111504
Requisition for Steamed white rice,50201700
Supply of Interior wall paint white,31211504
"14"" business notebook for site delivery",43211503
Purchased: Gigabit router - 25 units,43222609
"Procurement request: Yellow bananas, 2 pcs",50192102
Line item: Office network router,43222609
Order of Bag of green apples,50192101
Requisition for Electric cable insulated,26121505
"Invoice: Broadband router, qty 12",43222609
Purchased: Panel made of concrete - 1 units,30111504
Acquired 50 units of Basmati rice 2kg,50201700
"Invoice: Organic hen eggs, qty 50",50131705
Shipment: 25 x Laptop with 16GB RAM,43211503
Line item: 12-pack eggs,50131705
Line item: Steel rebars 10mm,30102307
Pro business laptop for site delivery,43211503
Purchased: Heavy concrete board - 10 units,30111504
Order of Office laptop 512GB SSD,43211503
Purchased: Wireless internet router - 50 units,43222609
"Invoice: Matte white emulsion 5L, qty 50",31211504
Supply of Fresh white eggs,50131705
Acquired 10 units of Steel rebars 10mm,30102307
Shipment: 5 x Office network router,43222609
White jasmine rice for site delivery,50201700
Purchased: Workstation laptop - 25 units,43211503
Flexible wire 1.5mm for site delivery,26121505
Order of Gigabit router,43222609
"Invoice: Office laptop 512GB SSD, qty 12",43211503
Shipment: 5 x Reinforcement bar bundle,30102307
Purchased: Construction steel rods - 50 units,30102307
"Procurement request: Matte white emulsion 5L, 25 pcs",31211504
"Invoice: Precast concrete slab, qty 10",30111504
Order of Long grain white rice,50201700
"Invoice: Office network router, qty 1",43222609
"Procurement request: Yellow bananas, 12 pcs",50192102
Requisition for Long grain white rice,50201700
Purchased: Red Washington apples 1kg - 10 units,50192101
Line item: Organic hen eggs,50131705
Shipment: 50 x Basmati rice 2kg,50201700
Shipment: 5 x Rice 5kg bag,50201700
Red Washington apples 1kg for site delivery,50192101
Acquired 2 units of Organic bananas,50192102
Line item: Loose apples (kg),50192101
Organic hen eggs for site delivery,50131705
Requisition for Wall panel concrete 1x2m,30111504
Line item: Rice 5kg bag,50201700
Banana bunch large for site delivery,50192102
Requisition for Electric cable insulated,26121505
Acquired 50 units of Organic apples pack,50192101
Shipment: 1 x House wiring cable,26121505
Acquired 25 units of House wiring cable,26121505
Cavendish bananas 1kg for site delivery,50192102
Order of Wall panel concrete 1x2m,30111504
Organic hen eggs for site delivery,50131705
Purchased: Mild steel bars - 25 units,30102307
Acquired 5 units of Steel rebars 10mm,30102307
Red Washington apples 1kg for site delivery,50192101
Acquired 2 units of Workstation laptop,43211503
Purchased: Basmati rice 2kg - 5 units,50201700
Supply of Loose apples (kg),50192101
"Invoice: Flexible wire 1.5mm, qty 12",26121505
Acquired 5 units of Organic hen eggs,50131705
Acquired 2 units of Panel made of concrete,30111504
Purchased: Fresh ripe bananas - 1 units,50192102
Supply of Interior wall paint white,31211504
Line item: Interior wall paint white,31211504
"Procurement request: Wall coating matte white, 5 pcs",31211504
Requisition for Mild steel bars,30102307
Supply of Single core copper cable,26121505
Shipment: 1 x Reinforcement bar bundle,30102307
"Invoice: Office laptop 512GB SSD, qty 12",43211503
Supply of Matte white emulsion 5L,31211504
Line item: 5 litre matte paint,31211504
"Invoice: House wiring cable, qty 10",26121505
Requisition for 10mm rebar,30102307
Purchased: Loose apples (kg) - 1 units,50192101
"Acquired 1 units of 14"" business notebook",43211503
Flexible wire 1.5mm for site delivery,26121505
"Procurement request: Banana bunch large, 50 pcs",50192102
Purchased: Laptop with 16GB RAM - 5 units,43211503
Requisition for Red Washington apples 1kg,50192101
Basmati rice 2kg for site delivery,50201700
Line item: Single core copper cable,26121505
Acquired 5 units of Dozen large eggs,50131705
Acquired 5 units of Concrete wall unit,30111504
Order of Precast concrete slab,30111504
"Invoice: Office network router, qty 5",43222609
Line item: House wiring cable,26121505
Line item: White jasmine rice,50201700
"Acquired 25 units of 14"" business notebook",43211503
"Invoice: Construction steel rods, qty 10",30102307
Order of Concrete wall unit,30111504
Line item: Wireless internet router,43222609
Shipment: 5 x 12-pack eggs,50131705
Supply of Carton of eggs,50131705
Purchased: Steamed white rice - 5 units,50201700
Requisition for Banana bunch large,50192102
Dual-band WiFi 6 router for site delivery,43222609
"Invoice: Matte white emulsion 5L, qty 12",31211504
Supply of Red Washington apples 1kg,50192101
Requisition for Dozen large eggs,50131705
Shipment: 10 x Electric cable insulated,26121505
House wiring cable for site delivery,26121505
Purchased: Loose apples (kg) - 50 units,50192101
Acquired 25 units of Organic apples pack,50192101
Acquired 25 units of Wireless internet router,43222609
Line item: Precast concrete slab,30111504
Purchased: Mild steel bars - 2 units,30102307
"Invoice: Banana bunch large, qty 12",50192102
Requisition for Dual-band WiFi 6 router,43222609
"Procurement request: Long grain white rice, 1 pcs",50201700
Acquired 50 units of Wireless internet router,43222609
Supply of Banana bunch large,50192102
Purchased: Workstation laptop - 1 units,43211503
Purchased: Heavy concrete board - 5 units,30111504
Shipment: 12 x 100m copper wire roll,26121505
"Procurement request: Dozen large eggs, 1 pcs",50131705
"Procurement request: Heavy concrete board, 5 pcs",30111504
Order of Dual-band WiFi 6 router,43222609
"Procurement request: Reinforcement bar bundle, 1 pcs",30102307
Shipment: 2 x Organic bananas,50192102
Acquired 2 units of Yellow bananas,50192102
Shipment: 1 x Basmati rice 2kg,50201700
Purchased: 10mm rebar - 10 units,30102307
Supply of Rice 5kg bag,50201700
Acquired 50 units of Long grain white rice,50201700
"Shipment: 25 x 14"" business notebook",43211503
"Invoice: 12-pack eggs, qty 5",50131705
"Procurement request: Basmati rice 2kg, 50 pcs",50201700
Purchased: Matte white emulsion 5L - 5 units,31211504
Requisition for Fresh gala apples,50192101
"Invoice: Dual-band WiFi 6 router, qty 25",43222609
Supply of White latex paint,31211504
Acquired 10 units of White jasmine rice,50201700
Requisition for 10mm rebar,30102307
Long grain white rice for site delivery,50201700
"Invoice: Fresh gala apples, qty 5",50192101
Purchased: 100m copper wire roll - 1 units,26121505
Line item: Office network router,43222609
Shipment: 5 x Organic apples pack,50192101
Office laptop 512GB SSD for site delivery,43211503
Line item: Long grain white rice,50201700
Purchased: Electric cable insulated - 5 units,26121505
Purchased: Banana bunch large - 25 units,50192102
Shipment: 25 x Long grain white rice,50201700
Line item: Yellow bananas,50192102
"Invoice: Wall coating matte white, qty 2",31211504
Requisition for Cavendish bananas 1kg,50192102
"Invoice: Laptop with 16GB RAM, qty 10",43211503
Purchased: Loose apples (kg) - 1 units,50192101
Requisition for Organic apples pack,50192101
Purchased: Laptop with 16GB RAM - 5 units,43211503
Order of White jasmine rice,50201700
Supply of Basmati rice 2kg,50201700
Supply of Workstation laptop,43211503
"Procurement request: Long grain white rice, 1 pcs",50201700
Order of Steel rebars 10mm,30102307
Supply of Wireless internet router,43222609
Pro business laptop for site delivery,43211503
Shipment: 5 x 10mm rebar,30102307
Broadband router for site delivery,43222609
"Invoice: Loose apples (kg), qty 5",50192101
Line item: Broadband router,43222609
Purchased: Concrete wall unit - 25 units,30111504
Line item: Laptop with 16GB RAM,43211503
"Invoice: Fresh ripe bananas, qty 25",50192102
Order of Precast concrete slab,30111504
Shipment: 1 x Interior wall paint white,31211504
Line item: Yellow bananas,50192102
Purchased: Office laptop 512GB SSD - 12 units,43211503
"Invoice: Steel rebars 10mm, qty 2",30102307
Supply of Steamed white rice,50201700
"Procurement request: Single core copper cable, 10 pcs",26121505
Organic bananas for site delivery,50192102
Acquired 50 units of Steamed white rice,50201700
Line item: Fresh gala apples,50192101
Order of 10mm rebar,30102307
Requisition for Fresh gala apples,50192101
House wiring cable for site delivery,26121505
Requisition for Carton of eggs,50131705
Line item: White jasmine rice,50201700
Order of Interior wall paint white,31211504
Line item: Wall panel concrete 1x2m,30111504
Shipment: 12 x Loose apples (kg),50192101
Supply of Single core copper cable,26121505
Supply of 5 litre matte paint,31211504
Purchased: Cavendish bananas 1kg - 1 units,50192102
Supply of Electric cable insulated,26121505
"Invoice: 10mm rebar, qty 5",30102307
Purchased: Fresh gala apples - 12 units,50192101
"Procurement request: Fresh ripe bananas, 25 pcs",50192102
"Procurement request: Concrete wall unit, 1 pcs",30111504
"Invoice: Single core copper cable, qty 10",26121505
"Procurement request: Concrete wall unit, 1 pcs",30111504
Purchased: Bag of green apples - 25 units,50192101
Supply of Laptop with 16GB RAM,43211503
House wiring cable for site delivery,26121505
Line item: Rice 5kg bag,50201700
Purchased: White latex paint - 5 units,31211504
Line item: Laptop with 16GB RAM,43211503
Shipment: 2 x Long grain white rice,50201700
"Invoice: Rice 5kg bag, qty 10",50201700
"Invoice: Organic bananas, qty 10",50192102
Purchased: Construction steel rods - 12 units,30102307
Supply of 12-pack eggs,50131705
"Invoice: Laptop with 16GB RAM, qty 50",43211503
Purchased: Steamed white rice - 1 units,50201700
Requisition for Steel rebars 10mm,30102307
Fresh white eggs for site delivery,50131705
Order of Electric cable insulated,26121505
Requisition for Organic bananas,50192102
Order of Fresh ripe bananas,50192102
Supply of Matte white emulsion 5L,31211504
Order of Precast concrete slab,30111504
"Procurement request: Yellow bananas, 50 pcs",50192102
"Invoice: Cavendish bananas 1kg, qty 10",50192102
"Invoice: Heavy concrete board, qty 5",30111504
"Invoice: Office network router, qty 2",43222609
Supply of Loose apples (kg),50192101
Order of 100m copper wire roll,26121505
Acquired 5 units of Red Washington apples 1kg,50192101
Requisition for Yellow bananas,50192102
Order of Fresh gala apples,50192101
"Invoice: White jasmine rice, qty 5",50201700
Requisition for Laptop with 16GB RAM,43211503
"Invoice: Organic bananas, qty 1",50192102
Supply of Matte white emulsion 5L,31211504
"Procurement request: Yellow bananas, 1 pcs",50192102
Order of Dual-band WiFi 6 router,43222609
Requisition for Construction steel rods,30102307
"Invoice: Gigabit router, qty 25",43222609
Supply of Long grain white rice,50201700
Workstation laptop for site delivery,43211503
Supply of Organic hen eggs,50131705
"Invoice: Fresh ripe bananas, qty 50",50192102
"Invoice: 10mm rebar, qty 10",30102307
Fresh white eggs for site delivery,50131705
Supply of Heavy concrete board,30111504
"Invoice: Banana bunch large, qty 2",50192102
"Procurement request: Rice 5kg bag, 10 pcs",50201700
Requisition for White jasmine rice,50201700
Purchased: Wireless internet router - 10 units,43222609
Shipment: 12 x Steamed white rice,50201700
Acquired 12 units of Flexible wire 1.5mm,26121505
White latex paint for site delivery,31211504
Line item: Steamed white rice,50201700
Purchased: Matte white emulsion 5L - 5 units,31211504
Order of Fresh gala apples,50192101
"Invoice: Flexible wire 1.5mm, qty 1",26121505
"Procurement request: Bag of green apples, 50 pcs",50192101
Shipment: 2 x 10mm rebar,30102307
Purchased: Flexible wire 1.5mm - 2 units,26121505
"Invoice: Matte white emulsion 5L, qty 1",31211504
Order of Reinforcement bar bundle,30102307
Order of Rice 5kg bag,50201700
Yellow bananas for site delivery,50192102
Order of Wall panel concrete 1x2m,30111504
Wireless internet router for site delivery,43222609
Line item: Fresh ripe bananas,50192102
"Invoice: Long grain white rice, qty 10",50201700
Supply of Mild steel bars,30102307
Shipment: 50 x Rice 5kg bag,50201700
Bag of green apples for site delivery,50192101
Line item: Red Washington apples 1kg,50192101
"Invoice: Mild steel bars, qty 1",30102307
Shipment: 12 x White jasmine rice,50201700
Acquired 5 units of Pro business laptop,43211503
"Invoice: White latex paint, qty 5",31211504
Requisition for Yellow bananas,50192102
Line item: White latex paint,31211504
"Invoice: White latex paint, qty 50",31211504
House wiring cable for site delivery,26121505
"Procurement request: Fresh white eggs, 25 pcs",50131705
"Invoice: White jasmine rice, qty 1",50201700
Purchased: Office network router - 5 units,43222609
Fresh ripe bananas for site delivery,50192102
Order of Concrete wall unit,30111504
Acquired 1 units of Laptop with 16GB RAM,43211503
Line item: Cavendish bananas 1kg,50192102
Acquired 2 units of Laptop with 16GB RAM,43211503
Supply of Fresh gala apples,50192101
Order of Panel made of concrete,30111504
Order of Dozen large eggs,50131705
Order of Banana bunch large,50192102
Acquired 2 units of Office laptop 512GB SSD,43211503
"Procurement request: Office network router, 2 pcs",43222609
Requisition for Banana bunch large,50192102
Acquired 50 units of 100m copper wire roll,26121505
Line item: Steel rebars 10mm,30102307
Line item: White jasmine rice,50201700
"Invoice: Bag of green apples, qty 2",50192101
Dozen large eggs for site delivery,50131705
"Invoice: Interior wall paint white, qty 50",31211504
Acquired 25 units of Mild steel bars,30102307
"Procurement request: Panel made of concrete, 10 pcs",30111504
Supply of 10mm rebar,30102307
Order of Heavy concrete board,30111504
Purchased: Long grain white rice - 12 units,50201700
"Invoice: Precast concrete slab, qty 12",30111504
Order of Dozen large eggs,50131705
Pro business laptop for site delivery,43211503
"Procurement request: Organic bananas, 2 pcs",50192102
Laptop with 16GB RAM for site delivery,43211503
"Procurement request: Concrete wall unit, 1 pcs",30111504
Shipment: 5 x Cavendish bananas 1kg,50192102
Shipment: 25 x Organic hen eggs,50131705
Line item: Steel rebars 10mm,30102307
Supply of Bag of green apples,50192101
"Invoice: Steamed white rice, qty 10",50201700
Line item: Gigabit router,43222609
Requisition for Dual-band WiFi 6 router,43222609
Order of Organic hen eggs,50131705
Acquired 1 units of Fresh gala apples,50192101
Supply of Steel rebars 10mm,30102307
Requisition for Mild steel bars,30102307
Requisition for Cavendish bananas 1kg,50192102
"Procurement request: Dozen large eggs, 10 pcs",50131705
Shipment: 1 x Carton of eggs,50131705
Cavendish bananas 1kg for site delivery,50192102
Requisition for Long grain white rice,50201700
"Procurement request: Banana bunch large, 12 pcs",50192102
Shipment: 1 x 12-pack eggs,50131705
Order of Office laptop 512GB SSD,43211503
"Invoice: Reinforcement bar bundle, qty 25",30102307
Line item: 5 litre matte paint,31211504
Order of Heavy concrete board,30111504
Shipment: 2 x Office network router,43222609
Order of Fresh gala apples,50192101
Supply of Rice 5kg bag,50201700
"Invoice: Steel rebars 10mm, qty 1",30102307
Office laptop 512GB SSD for site delivery,43211503
Acquired 2 units of Fresh white eggs,50131705
Order of Laptop with 16GB RAM,43211503
Supply of Rice 5kg bag,50201700
Requisition for 5 litre matte paint,31211504
"Invoice: Carton of eggs, qty 25",50131705
Line item: Rice 5kg bag,50201700
Line item: Loose apples (kg),50192101
Line item: Yellow bananas,50192102
Order of Broadband router,43222609
Shipment: 50 x 12-pack eggs,50131705
Requisition for Dual-band WiFi 6 router,43222609
Shipment: 50 x 100m copper wire roll,26121505
Line item: Reinforcement bar bundle,30102307
Purchased: Fresh gala apples - 10 units,50192101
Line item: Electric cable insulated,26121505
Purchased: 5 litre matte paint - 2 units,31211504
"Procurement request: Precast concrete slab, 50 pcs",30111504
Supply of Dual-band WiFi 6 router,43222609
Shipment: 25 x 100m copper wire roll,26121505
Requisition for Fresh white eggs,50131705
Requisition for Gigabit router,43222609
"Invoice: Dual-band WiFi 6 router, qty 10",43222609
"Invoice: Rice 5kg bag, qty 12",50201700
Acquired 10 units of Wall panel concrete 1x2m,30111504
Requisition for Rice 5kg bag,50201700
Pro business laptop for site delivery,43211503
Order of Fresh ripe bananas,50192102
Shipment: 25 x Basmati rice 2kg,50201700
Panel made of concrete for site delivery,30111504
Line item: Carton of eggs,50131705
Requisition for Bag of green apples,50192101
Acquired 10 units of White latex paint,31211504
Shipment: 1 x Cavendish bananas 1kg,50192102
Requisition for Office network router,43222609
"Procurement request: Basmati rice 2kg, 50 pcs",50201700
Supply of Wall coating matte white,31211504
Requisition for Workstation laptop,43211503
Requisition for Matte white emulsion 5L,31211504
"Invoice: Red Washington apples 1kg, qty 50",50192101
Line item: Gigabit router,43222609
Line item: Wireless internet router,43222609
Requisition for Wall coating matte white,31211504
Order of Heavy concrete board,30111504
"Invoice: Heavy concrete board, qty 25",30111504
Requisition for Long grain white rice,50201700
Requisition for Electric cable insulated,26121505
Acquired 1 units of Cavendish bananas 1kg,50192102
Supply of Heavy concrete board,30111504
"Procurement request: Electric cable insulated, 2 pcs",26121505
Order of Fresh ripe bananas,50192102
"Invoice: Loose apples (kg), qty 1",50192101
Panel made of concrete for site delivery,30111504
"Invoice: Basmati rice 2kg, qty 10",50201700
Purchased: Wireless internet router - 25 units,43222609
Purchased: 5 litre matte paint - 12 units,31211504
Supply of White latex paint,31211504
Bag of green apples for site delivery,50192101
Loose apples (kg) for site delivery,50192101
Carton of eggs for site delivery,50131705
Supply of 10mm rebar,30102307
Shipment: 50 x Fresh ripe bananas,50192102
Requisition for Wireless internet router,43222609
Requisition for Dozen large eggs,50131705
Purchased: Dozen large eggs - 25 units,50131705
"Procurement request: White jasmine rice, 25 pcs",50201700
"Invoice: 12-pack eggs, qty 5",50131705
Line item: Fresh gala apples,50192101
Precast concrete slab for site delivery,30111504
Line item: Office network router,43222609
"Invoice: 100m copper wire roll, qty 12",26121505
"Purchased: 14"" business notebook - 12 units",43211503
Order of Loose apples (kg),50192101
Purchased: Electric cable insulated - 50 units,26121505
Purchased: Dual-band WiFi 6 router - 1 units,43222609
Purchased: Wireless internet router - 1 units,43222609
Supply of 10mm rebar,30102307
"Procurement request: Matte white emulsion 5L, 25 pcs",31211504
Shipment: 25 x Single core copper cable,26121505
Acquired 10 units of Fresh white eggs,50131705
"Invoice: 5 litre matte paint, qty 2",31211504
Office laptop 512GB SSD for site delivery,43211503
"Invoice: Concrete wall unit, qty 50",30111504
Requisition for White latex paint,31211504
Supply of Steamed white rice,50201700
Gigabit router for site delivery,43222609
Purchased: White jasmine rice - 12 units,50201700
Broadband router for site delivery,43222609
Acquired 5 units of Steel rebars 10mm,30102307
Supply of Heavy concrete board,30111504
Requisition for Single core copper cable,26121505
"Procurement request: Cavendish bananas 1kg, 10 pcs",50192102
Purchased: 10mm rebar - 1 units,30102307
"Procurement request: 5 litre matte paint, 2 pcs",31211504
Order of Dual-band WiFi 6 router,43222609
Purchased: Bag of green apples - 10 units,50192101
Purchased: Concrete wall unit - 12 units,30111504
Supply of Organic bananas,50192102
Purchased: Wall coating matte white - 1 units,31211504
Line item: Single core copper cable,26121505
Requisition for Yellow bananas,50192102
"Procurement request: Rice 5kg bag, 2 pcs",50201700
Shipment: 10 x Matte white emulsion 5L,31211504
Requisition for Bag of green apples,50192101
"Invoice: Organic bananas, qty 12",50192102
Requisition for Gigabit router,43222609
Supply of Precast concrete slab,30111504
Shipment: 5 x Precast concrete slab,30111504
Order of Reinforcement bar bundle,30102307
"Procurement request: 100m copper wire roll, 25 pcs",26121505
Shipment: 1 x Red Washington apples 1kg,50192101
Supply of Rice 5kg bag,50201700
Office network router for site delivery,43222609
Line item: Office network router,43222609
Shipment: 10 x Rice 5kg bag,50201700
Line item: Banana bunch large,50192102
Order of Fresh gala apples,50192101
Fresh gala apples for site delivery,50192101
"Invoice: Long grain white rice, qty 1",50201700
Acquired 1 units of 5 litre matte paint,31211504
Order of Bag of green apples,50192101
Bag of green apples for site delivery,50192101
Requisition for Gigabit router,43222609
Line item: Construction steel rods,30102307
"Procurement request: Cavendish bananas 1kg, 50 pcs",50192102
Requisition for Mild steel bars,30102307
Acquired 12 units of Dozen large eggs,50131705
Shipment: 25 x Wall coating matte white,31211504
"Procurement request: Organic hen eggs, 50 pcs",50131705
12-pack eggs for site delivery,50131705
"Procurement request: 14"" business notebook, 12 pcs",43211503
Interior wall paint white for site delivery,31211504
Purchased: Dozen large eggs - 1 units,50131705
Requisition for White latex paint,31211504
"Procurement request: Dozen large eggs, 2 pcs",50131705
Acquired 50 units of Panel made of concrete,30111504
Shipment: 25 x Broadband router,43222609
Mild steel bars for site delivery,30102307
Requisition for 5 litre matte paint,31211504
Purchased: Panel made of concrete - 50 units,30111504
Long grain white rice for site delivery,50201700
Supply of Long grain white rice,50201700
"Invoice: Precast concrete slab, qty 10",30111504
Purchased: Fresh ripe bananas - 1 units,50192102
Supply of 12-pack eggs,50131705
Shipment: 5 x Carton of eggs,50131705
"Acquired 1 units of 14"" business notebook",43211503
Purchased: Office network router - 2 units,43222609
Requisition for Steamed white rice,50201700
Shipment: 5 x Dual-band WiFi 6 router,43222609
Order of Dual-band WiFi 6 router,43222609
Purchased: White jasmine rice - 5 units,50201700
"Invoice: White latex paint, qty 12",31211504
Line item: Pro business laptop,43211503
Flexible wire 1.5mm for site delivery,26121505
Fresh gala apples for site delivery,50192101
Order of Fresh ripe bananas,50192102
Laptop with 16GB RAM for site delivery,43211503
Purchased: Banana bunch large - 12 units,50192102
Requisition for White jasmine rice,50201700
Shipment: 2 x 5 litre matte paint,31211504
"Procurement request: Construction steel rods, 25 pcs",30102307
Supply of Pro business laptop,43211503
"Invoice: Red Washington apples 1kg, qty 12",50192101
Supply of Heavy concrete board,30111504
"Procurement request: Interior wall paint white, 25 pcs",31211504
"Invoice: Cavendish bananas 1kg, qty 5",50192102
Order of 12-pack eggs,50131705
"Procurement request: Fresh white eggs, 1 pcs",50131705
10mm rebar for site delivery,30102307
"Procurement request: Loose apples (kg), 10 pcs",50192101
Shipment: 50 x Precast concrete slab,30111504
White latex paint for site delivery,31211504
Supply of Loose apples (kg),50192101
Acquired 2 units of Wall coating matte white,31211504
Steel rebars 10mm for site delivery,30102307
Shipment: 25 x Office network router,43222609
Supply of Gigabit router,43222609
"Procurement request: Organic hen eggs, 10 pcs",50131705
Supply of Bag of green apples,50192101
Line item: Gigabit router,43222609
Acquired 25 units of Banana bunch large,50192102
Requisition for Fresh gala apples,50192101
"Procurement request: Interior wall paint white, 10 pcs",31211504
Line item: Fresh gala apples,50192101
Purchased: Rice 5kg bag - 25 units,50201700
Requisition for Cavendish bananas 1kg,50192102
Acquired 10 units of Banana bunch large,50192102
Supply of Electric cable insulated,26121505
Requisition for Broadband router,43222609
Supply of Rice 5kg bag,50201700
Acquired 25 units of Loose apples (kg),50192101
Gigabit router for site delivery,43222609
"Procurement request: Carton of eggs, 5 pcs",50131705
Shipment: 25 x Fresh ripe bananas,50192102
"Invoice: Reinforcement bar bundle, qty 12",30102307
Acquired 25 units of Pro business laptop,43211503
Shipment: 5 x 10mm rebar,30102307
Order of Banana bunch large,50192102
Supply of Fresh gala apples,50192101
Order of Precast concrete slab,30111504
"Requisition for 14"" business notebook",43211503
Supply of Red Washington apples 1kg,50192101
Acquired 25 units of Broadband router,43222609
Electric cable insulated for site delivery,26121505
Purchased: Laptop with 16GB RAM - 10 units,43211503
Supply of Precast concrete slab,30111504
"Procurement request: Organic apples pack, 2 pcs",50192101
Requisition for White jasmine rice,50201700
Line item: Workstation laptop,43211503
Requisition for Mild steel bars,30102307
"Invoice: Gigabit router, qty 25",43222609
"Invoice: 5 litre matte paint, qty 10",31211504
Supply of Electric cable insulated,26121505
Line item: Banana bunch large,50192102
"Invoice: Carton of eggs, qty 10",50131705
"Invoice: Basmati rice 2kg, qty 12",50201700
Acquired 25 units of Organic hen eggs,50131705
"Procurement request: Office network router, 10 pcs",43222609
Requisition for Fresh white eggs,50131705
Order of Loose apples (kg),50192101
"Invoice: Basmati rice 2kg, qty 12",50201700
Line item: Laptop with 16GB RAM,43211503
Line item: Wireless internet router,43222609
Order of Concrete wall unit,30111504
Requisition for Long grain white rice,50201700
Acquired 10 units of Organic apples pack,50192101
